Norwegian,English
å være,to be
og,and 
i,in
en,"a, an (common); one"
det,"there, it, that <neuter of den>"
på,"on, upon, in, at, into, to, of, after "
som,"as, like"
å ha,to have
til,"to; till, until "
av,by (subject of action); because of
for,"before, in front of, for, at, because of"
med,with
at,that
jeg,I
ikke,"not, no"
de,they
den,it
å bli,to remain; will be; become
du,you
om,"about, concerning, round, around"
å kunne,"can, to be able to"
vi,we 
men,"but, however "
fra,"from, since"
mye,"much, a lot, plenty "
så,"so; then, next "
å få,"to get, acquire, accomplish, have"
å skulle,"will, shall"
noen,"somebody, someone, anybody, anyone "
å ville,to want to; shall; will; should; would
dette,"this, this one <neuter of denne>"
seg,one; oneself; themselves
han,he
god,good
mange,"many, a great many, lots of"
all,all
andre,other [definite and pl]
eller,or
annen,other [masculine]
også,"too, also "
å se,to see 
å si,"to say, tell, mention"
å komme,to come
å ta,"to choose, take"
å gå,to go
ut,out 
man,"one, people, they, you"
stor,"great, big, large "
et år,year
å måtte,to have to 
sin,"her, his, hers, its "
å gjøre,"to do, make"
å lese,to read
etter,"after, following, behind"
da,"then; at, by that time; anyway, surely"
hel,"whole, complete"
nå,now
når,when
ny,"new, fresh"
ved,"at, by, near, on "
en dag,day; (day)light
denne,this (one)
liten,little
her,here
opp,"upstairs, open"
over,"over, above, more than, past"
hun,she
bare,"just, merely; if only"
å gi,to give
å finne,to find
inn,in
to,two 
slik,"in this way, so; like that; such"
å skrive,to write 
litt,"a bit, a little"
mot,"towards, in the direction of "
enn,"still; even if, no matter what; than"
hva,what
å bruke,"to use; consume, spend; do habitually"
der,"there, at that place"
min,"my, (stående alene) mine "
ei sak,"concern, business; matter; subject; cause; fact"
en gang,"gait, going, movement, course"
å legge,"to lay, place"
et innlegg,installation; enclosure; plea
ei tid,"time, age, period"
før,"before, prior (to)"
hvor,where; how
lang,"lengthy, long, tall"
jo,yes (in answer to a negative question)
siden,since; afterwards; presently; then
en del,"part, section, share"
å tro,"to think, believe, have trust "
din,your(s)
nok,enough 
å stå,"to stand, be standing up"
under,"below, beneath; during"
å vise,"to show, indicate "
hvis,"if, in case"
et svar,answer
disse,these <pl of denne>
å vite,to know
vår,"our, ours "
å mene,"to think, be of opinion"
første,(the) first
òg,"too, also "
å sette,to set 
norsk,Norwegian 
å burde,"ought to, should"
ingen,none; neither (of two); nobody
mellom,"between, among "
både,both
igjen,again; back
egen,own
viktig,important
et bilde,picture; image
et barn,child
hver,"each, every"
samme,"the same, equal, identical"
sist,"last, latest"
hvordan,"how; however, no matter how"
uten,without; unless
å holde,"to tolerate, withstand, hold (up)"
dere,you (pl)
et land,land
kanskje,"perhaps, maybe"
frem,"ahead, forht, forward"
å sende,to send
vel,at least
et folk,"nation, people"
veldig,very
ned,down 
sammen,together
tidlig,early 
å ligge,to lie; be inactive; rest
enkel,"plain, simple"
bra,"good, well; decent, nice"
gjennom,through
rundt,"around, round"
ei and,duck
å spille,to play 
høy,high
ei side,page; side
gammel,"old, aged"
å tenke,to think
en by,"city, town"
å synes,to think 
en film,"film, movie"
blant,among
ei uke,week 
en kommentar,commentary; comment
fordi,because
en måte,"way, method, fashion "
et sted,place
å ønske,"to wish, desire, want"
å lage,"to make, prepare"
derfor,"therefore; all the same, still"
en verden,"world, earth "
et forhold,"relation(s), relationship, proportion"
en mann,man; husband
en kamp,boulder; battle; contest (sports)
klar,"clear, bright"
ei krone,krone; heads (on coin); crown (various coins)
mens,while 
et liv,life
å skje,"to happen, occur"
å høre,to hear
å kjenne,"to know, recognize; perceive"
