Unnamed: 0,Norwegian,English
0,å være,to be
1,og,and 
2,i,in
3,en,"a, an (common); one"
4,det,"there, it, that <neuter of den>"
5,på,"on, upon, in, at, into, to, of, after "
6,som,"as, like"
7,å ha,to have
8,til,"to; till, until "
9,av,by (subject of action); because of
10,for,"before, in front of, for, at, because of"
11,med,with
12,at,that
13,jeg,I
14,ikke,"not, no"
15,de,they
16,den,it
17,å bli,to remain; will be; become
18,du,you
19,om,"about, concerning, round, around"
20,å kunne,"can, to be able to"
21,vi,we 
22,men,"but, however "
23,fra,"from, since"
24,mye,"much, a lot, plenty "
25,så,"so; then, next "
26,å få,"to get, acquire, accomplish, have"
27,å skulle,"will, shall"
28,noen,"somebody, someone, anybody, anyone "
29,å ville,to want to; shall; will; should; would
30,dette,"this, this one <neuter of denne>"
31,seg,one; oneself; themselves
33,god,good
34,mange,"many, a great many, lots of"
35,all,all
36,andre,other [definite and pl]
37,eller,or
38,annen,other [masculine]
39,også,"too, also "
40,å se,to see 
41,å si,"to say, tell, mention"
42,å komme,to come
43,å ta,"to choose, take"
44,å gå,to go
45,ut,out 
46,man,"one, people, they, you"
47,stor,"great, big, large "
48,et år,year
49,å måtte,to have to 
50,sin,"her, his, hers, its "
51,å gjøre,"to do, make"
52,å lese,to read
53,etter,"after, following, behind"
54,da,"then; at, by that time; anyway, surely"
55,hel,"whole, complete"
56,nå,now
57,når,when
58,ny,"new, fresh"
59,ved,"at, by, near, on "
60,en dag,day; (day)light
61,denne,this (one)
62,liten,little
63,her,here
64,opp,"upstairs, open"
65,over,"over, above, more than, past"
66,hun,she
67,bare,"just, merely; if only"
68,å gi,to give
69,å finne,to find
70,inn,in
71,to,two 
72,slik,"in this way, so; like that; such"
73,å skrive,to write 
74,litt,"a bit, a little"
75,mot,"towards, in the direction of "
76,enn,"still; even if, no matter what; than"
77,hva,what
78,å bruke,"to use; consume, spend; do habitually"
79,der,"there, at that place"
80,min,"my, (stående alene) mine "
81,ei sak,"concern, business; matter; subject; cause; fact"
82,en gang,"gait, going, movement, course"
83,å legge,"to lay, place"
84,et innlegg,installation; enclosure; plea
85,ei tid,"time, age, period"
86,før,"before, prior (to)"
87,hvor,where; how
88,lang,"lengthy, long, tall"
90,siden,since; afterwards; presently; then
91,en del,"part, section, share"
92,å tro,"to think, believe, have trust "
93,din,your(s)
94,nok,enough 
95,å stå,"to stand, be standing up"
96,under,"below, beneath; during"
97,å vise,"to show, indicate "
98,hvis,"if, in case"
99,et svar,answer
100,disse,these <pl of denne>
101,å vite,to know
102,vår,"our, ours "
103,å mene,"to think, be of opinion"
105,òg,"too, also "
106,å sette,to set 
107,norsk,Norwegian 
108,å burde,"ought to, should"
109,ingen,none; neither (of two); nobody
110,mellom,"between, among "
111,både,both
112,igjen,again; back
113,egen,own
114,viktig,important
115,et bilde,picture; image
116,et barn,child
117,hver,"each, every"
118,samme,"the same, equal, identical"
119,sist,"last, latest"
120,hvordan,"how; however, no matter how"
121,uten,without; unless
122,å holde,"to tolerate, withstand, hold (up)"
123,dere,you (pl)
124,et land,land
125,kanskje,"perhaps, maybe"
126,frem,"ahead, forht, forward"
127,å sende,to send
128,vel,at least
129,et folk,"nation, people"
130,veldig,very
131,ned,down 
132,sammen,together
133,tidlig,early 
134,å ligge,to lie; be inactive; rest
135,enkel,"plain, simple"
136,bra,"good, well; decent, nice"
137,gjennom,through
138,rundt,"around, round"
139,ei and,duck
140,å spille,to play 
141,høy,high
142,ei side,page; side
143,gammel,"old, aged"
144,å tenke,to think
145,en by,"city, town"
146,å synes,to think 
147,en film,"film, movie"
148,blant,among
149,ei uke,week 
150,en kommentar,commentary; comment
151,fordi,because
152,en måte,"way, method, fashion "
153,et sted,place
154,å ønske,"to wish, desire, want"
155,å lage,"to make, prepare"
156,derfor,"therefore; all the same, still"
157,en verden,"world, earth "
158,et forhold,"relation(s), relationship, proportion"
159,en mann,man; husband
160,en kamp,boulder; battle; contest (sports)
161,klar,"clear, bright"
162,ei krone,krone; heads (on coin); crown (various coins)
163,mens,while 
164,et liv,life
165,å skje,"to happen, occur"
166,å høre,to hear
167,å kjenne,"to know, recognize; perceive"
168,mulig,"feasible, possible "
169,et problem,problem 
170,en grunn,"basis, ground(s)"
171,et menneske,"man, person, human"
172,å øke,"to increase, expand, rise"
173,tilbake,"back, backward "
174,å velge,to choose; vote for
175,hans,his
176,heller,rather; either
177,å begynne,"to begin, start"
178,et tips,"tip, tip-off, hint "
179,en ting,thing
180,hos,"at, at sby's, by; in; with; among; from"
181,vid,wide
182,et spørsmål,question 
183,å kjøpe,"to buy, purchase"
184,rett,"straight, right, correct"
185,aldri,never
186,å gjelde,"to be considered, be worth, apply"
187,like,"directly, right, straight"
188,en vei,"road, way"
189,tre,three 
190,en skole,school 
191,et medlem,member; fellow
192,et mål,goal; measure 
193,ei bok,book
194,ei kvinne,woman
195,å trenge,"to need, require; press, force"
196,spesiell,special 
197,et arbeid,"employment, job, work, labor"
198,et tillegg,"addition, amendment"
199,å klare,to clarify
200,en plass,"room, space, place, spot "
201,en prosent,percent
202,dersom,"if, in case"
203,fin,"fine, excellent"
204,ofte,"often, frequently"
205,hvilken,"what, which; what a"
206,å fortelle,"to tell (a story), narrate, relate"
207,en kommune,"municipality (city, town or village)"
208,en million,million 
209,sterk,strong
210,en mulighet,"possibility, chance (of)"
211,en venn,friend
212,svær,"heavy, big"
213,nær,"near, close"
214,dårlig,"ill; bad, of low quality"
215,først,"firstly, at first, initially"
216,en/et bruk,"use; custom, practice, usage"
217,en pris,"price, rate, prize"
218,en person,person
219,et eksempel,"example, instance"
220,kun,"just, merely"
221,faktisk,"factual, actual, matter-of-fact, real"
223,full,"full, complete"
224,å starte,to start
225,neste,"next, following "
226,et område,"division; area, field, range "
227,en penge,money
229,en time,"hour, time "
